cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
       738, 3.303096294E+00, 5.503140926E+00, 5.000000000E-01,-1.247931868E-01, 5.906826854E-01, 5.428010051E-18
       739, 3.102376699E+00, 5.302921295E+00, 5.000000000E-01,-1.118597537E-01, 5.851851702E-01, 1.399480254E-19
       740, 2.901802540E+00, 5.102734089E+00, 5.000000000E-01,-9.970813245E-02, 5.797769427E-01, 2.554059486E-22
       741, 2.701603413E+00, 4.902523518E+00, 5.000000000E-01,-8.832863718E-02, 5.744451284E-01, 2.554059486E-22
       742, 2.501426697E+00, 4.702255249E+00, 5.000000000E-01,-7.768835127E-02, 5.691925883E-01, 2.554059233E-22
       743, 2.301391840E+00, 4.501956940E+00, 5.000000000E-01,-6.777769327E-02, 5.640403032E-01, 2.554059486E-22
       744, 1.501108527E+00, 4.900985718E+00, 5.000000000E-01,-4.939544201E-02, 5.799778700E-01, 2.554059486E-22
       745, 1.701289415E+00, 4.701164722E+00, 5.000000000E-01,-5.309206992E-02, 5.726616979E-01, 2.554059486E-22
       746, 1.300838709E+00, 5.100804329E+00, 5.000000000E-01,-4.502708837E-02, 5.876098275E-01, 2.554059486E-22
       747, 1.901449323E+00, 4.501354218E+00, 5.000000000E-01,-5.614620820E-02, 5.656749010E-01, 2.554058981E-22
       748, 2.101351738E+00, 4.301698685E+00, 5.000000000E-01,-5.857070908E-02, 5.590257645E-01, 2.554059233E-22
       749, 3.904335022E+00, 5.892875671E+00, 5.000000000E-01,-1.603423357E-01, 5.989287496E-01, 1.764387078E-14
       750, 3.704528809E+00, 5.700614929E+00, 5.000000000E-01,-1.459602714E-01, 5.938109756E-01, 2.554059486E-22
       751, 3.504112720E+00, 5.503004551E+00, 5.000000000E-01,-1.320776045E-01, 5.886046290E-01, 2.554059738E-22
       752, 3.303583622E+00, 5.302999020E+00, 5.000000000E-01,-1.188571230E-01, 5.833635330E-01, 1.649151538E-18
       753, 3.102644682E+00, 5.102931499E+00, 5.000000000E-01,-1.063865051E-01, 5.781851411E-01, 4.912177946E-19
       754, 2.901555061E+00, 4.902975082E+00, 5.000000000E-01,-9.468496591E-02, 5.730939507E-01, 2.554059486E-22
       755, 2.701224804E+00, 4.702766895E+00, 5.000000000E-01,-8.374281973E-02, 5.680550337E-01, 2.554059486E-22
       756, 2.501071215E+00, 4.502458096E+00, 5.000000000E-01,-7.353197783E-02, 5.630850196E-01, 2.554059738E-22
       757, 2.301073790E+00, 4.302149296E+00, 5.000000000E-01,-6.403680891E-02, 5.582152009E-01, 2.554058981E-22
       758, 1.501108646E+00, 4.700985432E+00, 5.000000000E-01,-4.685565084E-02, 5.733401775E-01, 2.554059486E-22
       759, 1.300927639E+00, 4.900805473E+00, 5.000000000E-01,-4.278484359E-02, 5.806081891E-01, 2.554059486E-22
       760, 1.701288700E+00, 4.501164913E+00, 5.000000000E-01,-5.027416348E-02, 5.663871169E-01, 2.554059486E-22
       761, 1.100401402E+00, 5.100624084E+00, 5.000000000E-01,-3.802776337E-02, 5.881965756E-01, 2.554059233E-22
       762, 1.901394844E+00, 4.301385403E+00, 5.000000000E-01,-5.306150764E-02, 5.597648621E-01, 2.554058981E-22
