cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
        50, 3.527204752E+00, 8.787007332E+00, 5.000000000E-01,-3.625611663E-01,-1.263904423E-01, 1.411537232E-04
        51, 2.316253901E+00, 7.588590622E+00, 5.000000000E-01, 7.849507928E-01,-8.729861677E-02, 1.530928421E-04
        52, 2.113883018E+00, 7.387585640E+00, 5.000000000E-01, 9.310595393E-01,-7.319054753E-02, 1.564726845E-04
        53, 1.912248373E+00, 7.185038567E+00, 5.000000000E-01, 1.223049402E+00,-3.427358344E-02, 1.607196609E-04
        54, 2.923275948E+00, 8.386392593E+00, 5.000000000E-01,-4.235501960E-02,-1.500541121E-01, 1.432306599E-04
        55, 3.124756813E+00, 8.586677551E+00, 5.000000000E-01,-2.323014885E-01,-1.578094959E-01, 1.422834612E-04
        56, 2.721750259E+00, 8.185985565E+00, 5.000000000E-01, 1.567572504E-01,-1.428409219E-01, 1.450737473E-04
        57, 2.519866467E+00, 7.986734867E+00, 5.000000000E-01, 3.607843518E-01,-1.351953298E-01, 1.476430189E-04
        58, 2.317303419E+00, 7.788348675E+00, 5.000000000E-01, 5.615476370E-01,-1.257929206E-01, 1.507162960E-04
        59, 3.326118469E+00, 8.787038803E+00, 5.000000000E-01,-4.145362079E-01,-1.674557477E-01, 1.423889917E-04
        60, 3.527273178E+00, 8.986877441E+00, 5.000000000E-01,-5.923605561E-01,-1.801415831E-01, 1.437519531E-04
        61, 3.728535175E+00, 8.786912918E+00, 5.000000000E-01,-3.166795373E-01,-8.862287551E-02, 1.401833579E-04
        62, 2.114660263E+00, 7.588604927E+00, 5.000000000E-01, 7.475505471E-01,-1.105508655E-01, 1.540915691E-04
        63, 1.912440181E+00, 7.387186527E+00, 5.000000000E-01, 8.913449049E-01,-9.130986780E-02, 1.574677881E-04
        64, 1.710805893E+00, 7.184613228E+00, 5.000000000E-01, 1.167033553E+00,-4.174200073E-02, 1.616584195E-04
        65, 2.923518658E+00, 8.586498260E+00, 5.000000000E-01,-2.861916125E-01,-2.003470361E-01, 1.436298771E-04
        66, 2.722023964E+00, 8.386205673E+00, 5.000000000E-01,-9.218446910E-02,-1.901777536E-01, 1.444702648E-04
        67, 3.125092030E+00, 8.786826134E+00, 5.000000000E-01,-4.731150568E-01,-2.123690397E-01, 1.439119951E-04
        68, 2.520444870E+00, 8.185829163E+00, 5.000000000E-01, 1.100102141E-01,-1.804665923E-01, 1.462610817E-04
        69, 2.318411350E+00, 7.986743927E+00, 5.000000000E-01, 3.155310154E-01,-1.701350808E-01, 1.488029957E-04
        70, 2.115737438E+00, 7.788121223E+00, 5.000000000E-01, 5.172371864E-01,-1.570938826E-01, 1.518654753E-04
        71, 3.326206207E+00, 8.986967087E+00, 5.000000000E-01,-6.573967338E-01,-2.277958244E-01, 1.455470338E-04
        72, 3.527338266E+00, 9.186836243E+00, 5.000000000E-01,-8.455835581E-01,-2.476507127E-01, 1.488230191E-04
        73, 3.728535652E+00, 8.986644745E+00, 5.000000000E-01,-5.339986086E-01,-1.361865848E-01, 1.422720670E-04
        74, 3.930180788E+00, 8.786882401E+00, 5.000000000E-01,-2.769327760E-01,-5.350658298E-02, 1.394519786E-04
        75, 1.913066626E+00, 7.588020802E+00, 5.000000000E-01, 7.021922469E-01,-1.367284358E-01, 1.552183094E-04
        76, 1.711024404E+00, 7.386008263E+00, 5.000000000E-01, 8.426198959E-01,-1.115677059E-01, 1.585707651E-04
        77, 1.509384394E+00, 7.184000969E+00, 5.000000000E-01, 1.097438335E+00,-5.044150352E-02, 1.626314624E-04
        78, 2.923792362E+00, 8.786544800E+00, 5.000000000E-01,-5.382854939E-01,-2.616471648E-01, 1.457441977E-04
        79, 2.722171307E+00, 8.586296082E+00, 5.000000000E-01,-3.465850651E-01,-2.472984195E-01, 1.452625147E-04
        80, 2.520771503E+00, 8.385960579E+00, 5.000000000E-01,-1.486496776E-01,-2.347195297E-01, 1.459683117E-04
