nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
        50, 9.799859047E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 3.274092802E-11
        51, 9.999958992E+00, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.917478759E-11
        52, 1.019998837E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.613087871E-11
        53, 1.039995670E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.358289085E-11
        54, 1.059985733E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.145158010E-11
        55, 1.079982281E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.952305678E-11
        56, 1.099979687E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.774342132E-11
        57, 1.119969749E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.580472385E-11
        58, 1.139984512E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.360477703E-11
        59, 1.159992790E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.095626975E-11
        60, 1.180006218E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 7.899332230E-12
        61, 1.200012016E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 4.618375560E-12
        62, 1.219992638E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.696300652E-12
        63, 1.239937210E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 3.210690990E-13
        64, 1.259949684E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 1.216761067E-13
        65, 1.279995155E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.644963038E-14
        66, 1.299952316E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 8.097662081E-15
        67, 1.319947720E+01, 0.000000000E+00, 5.000000000E-01, 0.000000000E+00, 0.000000000E+00, 2.554059233E-22
