cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
        50, 1.069038105E+01, 9.699405670E+00, 5.000000000E-01,-1.352675706E-01, 1.115146093E-02, 1.265145838E-04
        51, 1.028967571E+01, 9.299398422E+00, 5.000000000E-01,-1.363256574E-01, 3.172994033E-02, 1.259147393E-04
        52, 8.700931549E+00, 1.089099407E+01, 5.000000000E-01,-1.158035100E-01, 1.765207499E-01, 5.451338366E-04
        53, 8.500926971E+00, 1.109148407E+01, 5.000000000E-01,-9.466217458E-02, 2.134739608E-01, 5.411893944E-04
        54, 9.299762726E+00, 1.009704781E+01, 5.000000000E-01,-1.526746005E-01, 8.410926908E-02, 3.766547889E-04
        55, 9.497787476E+00, 9.899978638E+00, 5.000000000E-01,-1.526232213E-01, 6.715112925E-02, 3.097448207E-04
        56, 9.694108963E+00, 9.699401855E+00, 5.000000000E-01,-1.495192200E-01, 5.489655212E-02, 2.459596726E-04
        57, 9.889897346E+00, 9.499298096E+00, 5.000000000E-01,-1.446618587E-01, 4.609698802E-02, 1.907073456E-04
        58, 9.100345612E+00, 1.029275990E+01, 5.000000000E-01,-1.483927667E-01, 1.064392179E-01, 4.384430940E-04
        59, 1.008918953E+01, 9.299551010E+00, 5.000000000E-01,-1.389150769E-01, 3.952703252E-02, 1.447501418E-04
        60, 8.900836945E+00, 1.049005699E+01, 5.000000000E-01,-1.389467716E-01, 1.342401654E-01, 4.862083588E-04
        61, 8.700813293E+00, 1.069043922E+01, 5.000000000E-01,-1.243269369E-01, 1.667130440E-01, 5.138802808E-04
        62, 1.049018002E+01, 9.299224854E+00, 5.000000000E-01,-1.332908869E-01, 2.486583963E-02, 1.079356589E-04
        63, 1.069056797E+01, 9.499223709E+00, 5.000000000E-01,-1.327274889E-01, 1.517080702E-02, 1.073765015E-04
        64, 1.028982162E+01, 9.099181175E+00, 5.000000000E-01,-1.327524483E-01, 3.461890668E-02, 1.076140470E-04
        65, 8.500847816E+00, 1.089089012E+01, 5.000000000E-01,-1.054627448E-01, 2.020839453E-01, 5.201848689E-04
        66, 8.300930977E+00, 1.109144402E+01, 5.000000000E-01,-8.357758075E-02, 2.384963334E-01, 5.087504396E-04
        67, 9.299404144E+00, 9.896995544E+00, 5.000000000E-01,-1.514638662E-01, 8.262973279E-02, 3.302744008E-04
        68, 9.100410461E+00, 1.009317875E+01, 5.000000000E-01,-1.493558735E-01, 1.025780514E-01, 3.909615043E-04
        69, 9.496276855E+00, 9.699852943E+00, 5.000000000E-01,-1.499800831E-01, 6.755796820E-02, 2.687507658E-04
        70, 9.691184998E+00, 9.499875069E+00, 5.000000000E-01,-1.461268514E-01, 5.655495822E-02, 2.123912855E-04
        71, 9.888648033E+00, 9.299593925E+00, 5.000000000E-01,-1.409562677E-01, 4.832240567E-02, 1.640719856E-04
        72, 8.900762558E+00, 1.029018879E+01, 5.000000000E-01,-1.426016539E-01, 1.277382821E-01, 4.426407977E-04
        73, 1.008930588E+01, 9.099291801E+00, 5.000000000E-01,-1.351256967E-01, 4.202219844E-02, 1.241152786E-04
        74, 8.700721741E+00, 1.048999023E+01, 5.000000000E-01,-1.308018416E-01, 1.577411890E-01, 4.782475298E-04
        75, 8.500755310E+00, 1.069033241E+01, 5.000000000E-01,-1.144338399E-01, 1.912453771E-01, 4.940869403E-04
        76, 1.069069195E+01, 9.299103737E+00, 5.000000000E-01,-1.299075931E-01, 1.887826808E-02, 9.112228872E-05
        77, 1.049029255E+01, 9.099094391E+00, 5.000000000E-01,-1.299692839E-01, 2.805526741E-02, 9.195624443E-05
        78, 1.028989220E+01, 8.899068832E+00, 5.000000000E-01,-1.290182471E-01, 3.724018484E-02, 9.211738507E-05
        79, 8.300908089E+00, 1.089082623E+01, 5.000000000E-01,-9.451173991E-02, 2.264825851E-01, 4.915167810E-04
        80, 9.298451424E+00, 9.696639061E+00, 5.000000000E-01,-1.491974890E-01, 8.160103858E-02, 2.882456756E-04
        81, 9.100421906E+00, 9.892883301E+00, 5.000000000E-01,-1.488292366E-01, 9.940847754E-02, 3.457358689E-04
        82, 8.900809288E+00, 1.009037495E+01, 5.000000000E-01,-1.444305927E-01, 1.221467480E-01, 3.987544042E-04
        83, 9.493885040E+00, 9.499578476E+00, 5.000000000E-01,-1.466804445E-01, 6.819668412E-02, 2.328910923E-04
        84, 9.688777924E+00, 9.299722672E+00, 5.000000000E-01,-1.423314512E-01, 5.814409256E-02, 1.833351125E-04
        85, 9.888676643E+00, 9.099393845E+00, 5.000000000E-01,-1.369981170E-01, 5.031344667E-02, 1.411569101E-04
        86, 8.701014519E+00, 1.029036522E+01, 5.000000000E-01,-1.353022754E-01, 1.496546268E-01, 4.399920872E-04
        87, 1.008940125E+01, 8.899124146E+00, 5.000000000E-01,-1.311776042E-01, 4.427537695E-02, 1.065967299E-04
        88, 8.500802994E+00, 1.049093723E+01, 5.000000000E-01,-1.214972809E-01, 1.811027080E-01, 4.640326952E-04
        89, 8.301037788E+00, 1.069098759E+01, 5.000000000E-01,-1.037739366E-01, 2.148666084E-01, 4.700079735E-04
        90, 1.069074726E+01, 9.099047661E+00, 5.000000000E-01,-1.268632859E-01, 2.228656970E-02, 7.738667045E-05
        91, 1.049033260E+01, 8.899044037E+00, 5.000000000E-01,-1.264806092E-01, 3.096254170E-02, 7.846087101E-05
        92, 1.028991413E+01, 8.699039459E+00, 5.000000000E-01,-1.251706481E-01, 3.960650787E-02, 7.904708764E-05
        93, 8.101030350E+00, 1.089084530E+01, 5.000000000E-01,-8.313310891E-02, 2.493356466E-01, 4.604338028E-04
        94, 9.296658516E+00, 9.496365547E+00, 5.000000000E-01,-1.461422443E-01, 8.104984462E-02, 2.511355851E-04
        95, 9.099646568E+00, 9.692261696E+00, 5.000000000E-01,-1.470734775E-01, 9.702423960E-02, 3.041201853E-04
        96, 8.900812149E+00, 9.890621185E+00, 5.000000000E-01,-1.446641684E-01, 1.174452230E-01, 3.561959311E-04
        97, 8.701234818E+00, 1.009123611E+01, 5.000000000E-01,-1.379633695E-01, 1.425520033E-01, 4.005913215E-04
        98, 9.491020203E+00, 9.299194336E+00, 5.000000000E-01,-1.429105848E-01, 6.893219799E-02, 2.018172381E-04
        99, 9.688019753E+00, 9.099448204E+00, 5.000000000E-01,-1.382714212E-01, 5.953473970E-02, 1.583514822E-04
       100, 9.888789177E+00, 8.899229050E+00, 5.000000000E-01,-1.328772455E-01, 5.210478231E-02, 1.216504388E-04
       101, 8.501049995E+00, 1.029291058E+01, 5.000000000E-01,-1.266519725E-01, 1.718697697E-01, 4.311407101E-04
