cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
        50, 6.983006597E-01, 1.370054436E+01, 5.000000000E-01, 1.131936815E-02, 5.224776864E-01, 2.554064282E-22
        51, 4.993539751E-01, 1.349996948E+01, 5.000000000E-01, 8.512179367E-03, 5.211960673E-01, 2.554065292E-22
        52, 1.700199485E+00, 1.470297813E+01, 5.000000000E-01, 2.943335846E-02, 4.690598547E-01, 2.857695200E-12
        53, 3.013747036E-01, 1.329895401E+01, 5.000000000E-01, 6.007380784E-03, 5.095986128E-01, 2.554064534E-22
        54, 1.011362821E-01, 1.309814453E+01, 5.000000000E-01, 2.410211833E-03, 4.311175644E-01, 7.311430451E-23
        55, 1.900018096E+00, 1.490078068E+01, 5.000000000E-01, 3.085351735E-02, 3.940941393E-01, 8.547565433E-12
        56, 1.700268626E+00, 1.450332165E+01, 5.000000000E-01, 3.118147142E-02, 4.798359573E-01, 2.971810732E-12
        57, 1.500465989E+00, 1.430109215E+01, 5.000000000E-01, 2.600527927E-02, 5.219606161E-01, 5.979097968E-13
        58, 1.300556302E+00, 1.410017014E+01, 5.000000000E-01, 2.104805037E-02, 5.328499675E-01, 4.962534629E-14
        59, 1.100026608E+00, 1.390040874E+01, 5.000000000E-01, 1.648563147E-02, 5.316656828E-01, 2.261737053E-16
        60, 8.988220692E-01, 1.370091820E+01, 5.000000000E-01, 1.245929208E-02, 5.294536948E-01, 2.554064534E-22
        61, 6.993909478E-01, 1.350067139E+01, 5.000000000E-01, 9.305794723E-03, 5.273533463E-01, 2.554064282E-22
        62, 5.011464357E-01, 1.329988480E+01, 5.000000000E-01, 6.965015549E-03, 5.252249837E-01, 2.554064787E-22
        63, 1.900080681E+00, 1.470250988E+01, 5.000000000E-01, 3.616197035E-02, 4.109639227E-01, 9.215592699E-12
        64, 3.026679754E-01, 1.309869576E+01, 5.000000000E-01, 4.973909352E-03, 5.143379569E-01, 2.554064534E-22
        65, 1.015044600E-01, 1.289843559E+01, 5.000000000E-01, 2.017795108E-03, 4.370989501E-01, 3.108735798E-23
        66, 2.099999905E+00, 1.490048504E+01, 5.000000000E-01, 3.639830276E-02, 3.124385774E-01, 2.096290329E-11
        67, 1.700463533E+00, 1.430108356E+01, 5.000000000E-01, 3.079549037E-02, 4.924041331E-01, 3.166942403E-12
        68, 1.900237799E+00, 1.450313854E+01, 5.000000000E-01, 3.803535178E-02, 4.222008288E-01, 1.036860701E-11
        69, 1.500577211E+00, 1.409941673E+01, 5.000000000E-01, 2.393075451E-02, 5.323492885E-01, 6.079473947E-13
        70, 1.300467730E+00, 1.389989281E+01, 5.000000000E-01, 1.808491163E-02, 5.415099263E-01, 5.025905568E-14
        71, 1.099707127E+00, 1.370084381E+01, 5.000000000E-01, 1.326499507E-02, 5.388239026E-01, 1.508067385E-16
        72, 8.995223045E-01, 1.350102234E+01, 5.000000000E-01, 9.591539390E-03, 5.349931717E-01, 2.554064787E-22
        73, 7.008191347E-01, 1.330058002E+01, 5.000000000E-01, 7.000271231E-03, 5.315824151E-01, 2.554064534E-22
        74, 5.025724173E-01, 1.309972191E+01, 5.000000000E-01, 5.273242015E-03, 5.286563635E-01, 2.554064787E-22
        75, 2.100032568E+00, 1.470198059E+01, 5.000000000E-01, 4.370731860E-02, 3.290133774E-01, 2.316013353E-11
        76, 3.034118116E-01, 1.289889622E+01, 5.000000000E-01, 3.891437780E-03, 5.183311105E-01, 2.554064787E-22
        77, 1.018375307E-01, 1.269903660E+01, 4.999999702E-01, 1.610254752E-03, 4.424304366E-01, 1.890670662E-23
        78, 2.300000191E+00, 1.490045738E+01, 5.000000000E-01, 4.157249257E-02, 1.948912740E-01, 4.052179425E-11
        79, 1.900450945E+00, 1.430124855E+01, 5.000000000E-01, 3.713114560E-02, 4.351541400E-01, 1.198393555E-11
        80, 1.700596690E+00, 1.409959030E+01, 5.000000000E-01, 2.767333202E-02, 5.038020015E-01, 3.420861034E-12
        81, 2.100214005E+00, 1.450309944E+01, 5.000000000E-01, 4.584905133E-02, 3.389539719E-01, 2.684648337E-11
        82, 1.500633001E+00, 1.389963722E+01, 5.000000000E-01, 1.966916770E-02, 5.423508286E-01, 6.215668171E-13
        83, 1.300371647E+00, 1.370046425E+01, 5.000000000E-01, 1.354677323E-02, 5.495174527E-01, 5.088500625E-14
        84, 1.099951625E+00, 1.350099373E+01, 5.000000000E-01, 9.180008434E-03, 5.451948643E-01, 5.680130152E-17
        85, 9.006046653E-01, 1.330073643E+01, 5.000000000E-01, 6.288778502E-03, 5.396738052E-01, 2.554065292E-22
        86, 7.018451095E-01, 1.310040951E+01, 5.000000000E-01, 4.529374652E-03, 5.350677967E-01, 2.554064787E-22
        87, 5.032867193E-01, 1.289965725E+01, 5.000000000E-01, 3.545441665E-03, 5.314570665E-01, 2.554065292E-22
        88, 2.300030708E+00, 1.470182037E+01, 5.000000000E-01, 5.071878433E-02, 2.107383013E-01, 4.498706269E-11
        89, 3.042479753E-01, 1.269926262E+01, 5.000000000E-01, 2.839869587E-03, 5.216941237E-01, 2.554064787E-22
        90, 1.019839868E-01, 1.249946785E+01, 5.000000000E-01, 1.219381695E-03, 4.471256733E-01, 2.063794234E-23
        91, 2.500000000E+00, 1.490046120E+01, 5.000000000E-01, 4.203456640E-02, 5.503296480E-02, 5.523649593E-11
        92, 2.100465775E+00, 1.430145073E+01, 5.000000000E-01, 4.418183118E-02, 3.493650556E-01, 3.222945175E-11
        93, 1.900617123E+00, 1.409968758E+01, 5.000000000E-01, 3.254906833E-02, 4.464628696E-01, 1.403803115E-11
        94, 1.700708151E+00, 1.389959526E+01, 5.000000000E-01, 2.162855491E-02, 5.145573020E-01, 3.679904471E-12
        95, 2.300204992E+00, 1.450281429E+01, 5.000000000E-01, 5.251392722E-02, 2.176136374E-01, 5.167870298E-11
        96, 1.500750065E+00, 1.370002937E+01, 5.000000000E-01, 1.331046969E-02, 5.515529513E-01, 6.304522876E-13
        97, 1.300546408E+00, 1.350067139E+01, 5.000000000E-01, 7.788577117E-03, 5.565713048E-01, 5.003875596E-14
        98, 1.100546002E+00, 1.330071259E+01, 5.000000000E-01, 4.469986074E-03, 5.504729152E-01, 2.554065292E-22
        99, 9.011869431E-01, 1.310047054E+01, 5.000000000E-01, 2.777899383E-03, 5.433161855E-01, 2.554064787E-22
       100, 7.020218372E-01, 1.290016747E+01, 5.000000000E-01, 2.046444686E-03, 5.377491117E-01, 2.554064787E-22
       101, 5.039790869E-01, 1.269970703E+01, 5.000000000E-01, 1.869348343E-03, 5.336376429E-01, 2.554065292E-22
       102, 2.500041485E+00, 1.470183754E+01, 5.000000000E-01, 5.360421911E-02, 6.717006862E-02, 6.666630442E-11
       103, 3.048352897E-01, 1.249957371E+01, 5.000000000E-01, 1.817086944E-03, 5.243772268E-01, 2.554064787E-22
       104, 1.020796895E-01, 1.229970741E+01, 5.000000000E-01, 8.499530377E-04, 4.512205422E-01, 4.285214237E-23
       105, 2.699999809E+00, 1.490046406E+01, 5.000000000E-01, 3.000708111E-02,-6.484078616E-02, 4.554248992E-11
       106, 2.100641012E+00, 1.409949112E+01, 5.000000000E-01, 3.769836947E-02, 3.577021956E-01, 3.920250929E-11
       107, 2.300467730E+00, 1.430120659E+01, 5.000000000E-01, 4.885709286E-02, 2.230563611E-01, 6.107832295E-11
       108, 1.900739431E+00, 1.389941597E+01, 5.000000000E-01, 2.421220578E-02, 4.573441148E-01, 1.629095123E-11
       109, 1.700899839E+00, 1.369955063E+01, 5.000000000E-01, 1.275540143E-02, 5.242493153E-01, 3.875801589E-12
       110, 2.500215769E+00, 1.450250816E+01, 5.000000000E-01, 5.424564332E-02, 6.929421425E-02, 7.907238753E-11
       111, 1.501023054E+00, 1.350022888E+01, 5.000000000E-01, 5.201356951E-03, 5.595127940E-01, 6.266026652E-13
       112, 1.300929427E+00, 1.330058956E+01, 5.000000000E-01, 1.175072277E-03, 5.623581409E-01, 4.749576993E-14
       113, 1.100935817E+00, 1.310037708E+01, 5.000000000E-01,-5.007552099E-04, 5.544183850E-01, 2.554064787E-22
       114, 9.011136889E-01, 1.290029144E+01, 5.000000000E-01,-6.756197545E-04, 5.459437370E-01, 2.554064787E-22
