cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
       562, 1.003274155E+01, 1.449677277E+01, 5.000000000E-01, 3.434241116E-01, 3.941158056E-01, 2.788123936E-07
       563, 1.023799896E+01, 1.469630432E+01, 5.000000000E-01, 3.453497589E-01, 4.039755464E-01, 4.155861006E-07
       564, 1.044148445E+01, 1.489851570E+01, 5.000000000E-01, 3.482935131E-01, 4.172738492E-01, 5.921502861E-07
       565, 9.826905251E+00, 1.429798126E+01, 5.000000000E-01, 3.415649235E-01, 3.853806257E-01, 1.860799870E-07
       566, 9.620509148E+00, 1.409649658E+01, 5.000000000E-01, 3.397398889E-01, 3.779691458E-01, 1.239455401E-07
       567, 9.408568382E+00, 1.389269257E+01, 5.000000000E-01, 3.381050229E-01, 3.716772497E-01, 8.099579674E-08
       568, 9.189303398E+00, 1.368787384E+01, 5.000000000E-01, 3.367300034E-01, 3.664392829E-01, 5.156509530E-08
       569, 8.960947037E+00, 1.348027229E+01, 5.000000000E-01, 3.356110156E-01, 3.620779514E-01, 3.169326845E-08
       570, 8.735267639E+00, 1.327126980E+01, 5.000000000E-01, 3.345843256E-01, 3.585519195E-01, 1.956163054E-08
       571, 8.548271179E+00, 1.306875229E+01, 5.000000000E-01, 3.334434628E-01, 3.557455242E-01, 1.312680631E-08
       572, 8.427920341E+00, 1.302008438E+01, 5.000000000E-01, 3.339248598E-01, 3.546808064E-01, 9.147566260E-09
       573, 9.829680443E+00, 1.449810028E+01, 5.000000000E-01, 3.483215868E-01, 3.898601532E-01, 1.472956797E-07
       574, 1.003575897E+01, 1.469719791E+01, 5.000000000E-01, 3.508237600E-01, 3.990195990E-01, 2.203270100E-07
       575, 1.023945236E+01, 1.489871502E+01, 5.000000000E-01, 3.544134498E-01, 4.112989604E-01, 3.145534890E-07
       576, 9.624510765E+00, 1.429836273E+01, 5.000000000E-01, 3.458670378E-01, 3.818913400E-01, 9.880433538E-08
       577, 9.416490555E+00, 1.409535408E+01, 5.000000000E-01, 3.435486555E-01, 3.751812577E-01, 6.574974520E-08
       578, 9.201138496E+00, 1.389033318E+01, 5.000000000E-01, 3.415078521E-01, 3.695469797E-01, 4.274453502E-08
       579, 8.976301193E+00, 1.368400478E+01, 5.000000000E-01, 3.398084641E-01, 3.648947775E-01, 2.679545474E-08
       580, 8.743988991E+00, 1.347184372E+01, 5.000000000E-01, 3.383485079E-01, 3.610120118E-01, 1.634802693E-08
       581, 8.518014908E+00, 1.324606609E+01, 5.000000000E-01, 3.370833397E-01, 3.580754995E-01, 1.015435558E-08
       582, 9.627410889E+00, 1.449904633E+01, 5.000000000E-01, 3.524641097E-01, 3.856414258E-01, 7.771383537E-08
       583, 9.833023071E+00, 1.469849491E+01, 5.000000000E-01, 3.555918932E-01, 3.940728307E-01, 1.156659621E-07
