cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
      4385, 6.263983727E+00, 1.022187710E+01, 5.000000000E-01,-7.134985924E-02,-1.671183258E-01, 3.891815140E-04
      4386, 6.232606888E+00, 1.046039009E+01, 5.000000000E-01,-7.218376547E-02,-9.344628453E-02, 3.847148910E-04
      4387, 5.955941677E+00, 1.059615135E+01, 5.000000000E-01,-3.011429496E-02, 8.500039694E-04, 3.874588292E-04
      4388, 5.857079983E+00, 1.079093552E+01, 5.000000000E-01,-7.576773316E-02, 7.095108181E-02, 3.826268949E-04
      4389, 6.035585880E+00, 1.041316223E+01, 5.000000000E-01,-1.529017091E-02,-7.603892684E-02, 3.901355667E-04
      4390, 6.565482140E+00, 9.506735802E+00, 5.000000000E-01,-1.434801519E-01,-2.961426973E-01, 3.972583800E-04
      4391, 6.417797089E+00, 9.748373032E+00, 5.000000000E-01,-1.161026806E-01,-2.717676759E-01, 3.949329839E-04
      4392, 6.258330822E+00, 9.990986824E+00, 5.000000000E-01,-7.252679765E-02,-2.288154215E-01, 3.927897196E-04
      4393, 6.074454308E+00, 1.021133995E+01, 5.000000000E-01,-1.236719545E-02,-1.541216224E-01, 3.927386133E-04
      4394, 6.379519939E+00, 9.527019501E+00, 5.000000000E-01,-1.226735488E-01,-2.976610065E-01, 3.985260555E-04
      4395, 6.237833500E+00, 9.772130966E+00, 5.000000000E-01,-8.768066019E-02,-2.758897543E-01, 3.954497224E-04
      4396, 6.081371307E+00, 1.000232697E+01, 5.000000000E-01,-2.441219613E-02,-2.289083302E-01, 3.947139485E-04
      4397, 6.199617863E+00, 9.555197716E+00, 5.000000000E-01,-1.073112935E-01,-3.060272038E-01, 3.981316113E-04
      4398, 6.066957474E+00, 9.794994354E+00, 5.000000000E-01,-5.216053501E-02,-2.895977199E-01, 3.964673379E-04
      4399, 6.137575626E+00, 9.340976715E+00, 5.000000000E-01,-1.276502311E-01,-3.173955083E-01, 4.008319229E-04
      4400, 6.028199196E+00, 9.590757370E+00, 5.000000000E-01,-8.951321244E-02,-3.280740380E-01, 3.984172945E-04
      4401, 5.963663578E+00, 9.392126083E+00, 5.000000000E-01,-1.299890280E-01,-3.391129076E-01, 4.006759555E-04
